Id.,Categoría,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
227,Bases Frappe,Base Sabor Vainilla kg - MIG,0.8,kg,0.8,kg,,,MIG,397.59,318.072
222,Bases Frappe,Base Té Chai Vainilla (Tipo Elefante) Kg - MIG,2.4,kg,2.4,kg,,,MIG,493.29,1183.896
361,Bases Frappe,DRAGON FRUIT,,,,,,,,0.0,
363,Bases Frappe,FRAPPÉ MAGNUM,,,,,,,,0.0,
364,Bases Frappe,FRAPPÉ MORDISCO,,,,,,,,0.0,
119,Bases Frappe,Polvo Zaachila Strawberry Cream,0.25,kg,0.25,kg,1.0,kg,Sam's Club,201.47,50.3675
365,Bebidas asiaticas preparadas,CHAMOYADA PELON,,,,,,,,,
360,Bebidas asiaticas preparadas,FRUTOS ROJOS,,,,,,,,0.0,
235,Bebidas asiaticas preparadas,Ice talk Blue Lemanade 230ml,0.0,unid.,0.0,unid.,2.0,unid.,DOKSURI,25.0,
234,Bebidas asiaticas preparadas,Ice Talk Durazno 230ml,0.0,unid.,-3.0,unid.,2.0,unid.,DOKSURI,25.0,
236,Bebidas asiaticas preparadas,Ice Talk Sandía 230ml,1.0,unid.,1.0,unid.,2.0,unid.,DOKSURI,25.0,25.0
358,Bebidas asiaticas preparadas,matcha coco,,,,,,,,,
350,Bebidas asiaticas preparadas,PERLAS CHAMOY,,,,,,,Colday,12.0,
367,Bebidas asiaticas preparadas,perlas de sandia,,,,,,,,0.0,
210,Carnes y Pollo,Pepperoni Campestre por kilo,0.0,kg,-0.31,kg,,,Aurrera,304.0,
255,Carnes y Pollo,Tenders GRVI,0.3,kg,0.3,kg,,,GRUVI,128.0,38.4
266,Concentrados y Jarabes,Calpis - 1L,1.0,L,1.0,L,,,Casa del Chef,144.0,144.0
154,Concentrados y Jarabes,Concentrado Baileys - L Sirope,0.0,L,-3.95,L,,,La Casa del Cheff,75.0,
156,Concentrados y Jarabes,Concentrado Banana - L Sirope,2.0,L,2.0,L,,,La Casa del Cheff,74.0,148.0
161,Concentrados y Jarabes,Concentrado Bubalo - L Sirope,0.0,L,-2.256,L,,,La Casa del Cheff,69.0,
157,Concentrados y Jarabes,Concentrado Cereza - L Sirope,2.0,L,2.0,L,,,La Casa del Cheff,69.0,138.0
162,Concentrados y Jarabes,Concentrado Chicle - L Sirope,1.0,L,1.0,L,,,La Casa del Cheff,69.0,69.0
159,Concentrados y Jarabes,Concentrado Frutos de la Pasión - L Sirope,2.0,L,2.0,L,,,La Casa del Cheff,69.0,138.0
160,Concentrados y Jarabes,Concentrado Kiwi - L Sirope,1.0,L,1.0,L,,,La Casa del Cheff,69.0,69.0
228,Concentrados y Jarabes,Concentrado Limón Dulce,2.0,L,2.0,L,,,MIG,110.49,220.98
155,Concentrados y Jarabes,Concentrado Manzana Verde - L Sirope,1.0,L,1.0,L,,,La Casa del Cheff,69.0,69.0
