Modificador,ID Grupo modificador,Título,Mínima cantidad,Máxima cantidad
RAMEN JJAJANG - BULDAK,80,Elije el ingrediente,1,1
RAMEN CHEESE - OTTOGI,80,Elije el ingrediente,1,1
COMBO COREAN,80,Elije el ingrediente,1,1
RAMEN KIMCHI - PALDO,80,Elije el ingrediente,1,1
RAMEN CARBONARA - BULDAK,80,Elije el ingrediente,1,1
RAMEN Habanero limón  - BULDAK,80,Elije el ingrediente,1,1
RAMEN SAMYANG ORIGINAL - SAMYANG,80,Elije el ingrediente,1,1
RAMEN SAMYANG Tom Yumy- BULDAK,80,Elije el ingrediente,1,1
RAMEN CARBONARA VOLCANO - Paldo,80,Elije el ingrediente,1,1
RAMEN KIMCHI - BULDAK,80,Elije el ingrediente,1,1
SHIN RAMEN TOOMBA,80,Elije el ingrediente,1,1
HAZELNUT - MCNULTY,91,,0,1
BOBAH TEA AGUA,34,Elige las perlas explosiva,1,1
BOBAH TEA,34,Elige las perlas explosiva,1,1
SODA COREANA CANTABILE,1,ELIJE LAS PERLAS,1,2
SODA EXPLOSIVA,1,ELIJE LAS PERLAS,1,2
CHILAQ VERDE CHICOS,90,Proteina,1,1
CHILAQ VERDES GRANDES,90,Proteina,1,1
CHILAQ ROJO CHICO,90,Proteina,1,1
CHILAQ ROJOS GRANDES,90,Proteina,1,1
CHILAQUILES,77,,0,2
CHILAQ VERDE CHICOS,77,,0,2
CHILAQ VERDES GRANDES,77,,0,2
CHILAQ ROJO CHICO,77,,0,2
CHILAQ ROJOS GRANDES,77,,0,2
RAMEN HOT CHICKEN - BULDAK,86,¿Ramen preparado?,0,1
RAMEN HOT CHICKEN 2X - BULDAK,86,¿Ramen preparado?,0,1
RAMEN HOT CHICKEN CHEESE - BULDAK,86,¿Ramen preparado?,0,1
RAMEN SHIN RAMYUN - NONGSHIM,86,¿Ramen preparado?,0,1
RAMEN HABANERO LIMON - BULDAK,86,¿Ramen preparado?,0,1
RAMEN HOT CHICKEN 3X - BULDAK,86,¿Ramen preparado?,0,1
RAMEN KIMCHI - SAMYANG,86,¿Ramen preparado?,0,1
RAMEN ROSÉ - BULDAK,86,¿Ramen preparado?,0,1
RAMEN QUATTRO CHEESE - BULDAK,86,¿Ramen preparado?,0,1
RAMEN JIN - OTTOGI,86,¿Ramen preparado?,0,1
RAMEN CREAM CARBONARA - BULDAK,86,¿Ramen preparado?,0,1
RAMEN TOMATO HOT CHICKEN - BULDAK,86,¿Ramen preparado?,0,1
RAMEN LOVELY HOT CHICKEN - BULDAK,86,¿Ramen preparado?,0,1
RAMEN YAKISOBA HOT CHICKEN -BULDAK,86,¿Ramen preparado?,0,1
RAMEN KIMCHI - OTTOGI,86,¿Ramen preparado?,0,1
RAMEN HOT PEPPER - BULDAK,86,¿Ramen preparado?,0,1
RAMEN JJAJANG - BULDAK,86,¿Ramen preparado?,0,1
RAMEN CHEESE - OTTOGI,86,¿Ramen preparado?,0,1
RAMEN KIMCHI - PALDO,86,¿Ramen preparado?,0,1
RAMEN CARBONARA - BULDAK,86,¿Ramen preparado?,0,1
RAMEN Habanero limón  - BULDAK,86,¿Ramen preparado?,0,1
RAMEN SAMYANG ORIGINAL - SAMYANG,86,¿Ramen preparado?,0,1
RAMEN SAMYANG Tom Yumy- BULDAK,86,¿Ramen preparado?,0,1
RAMEN CARBONARA VOLCANO - Paldo,86,¿Ramen preparado?,0,1
BULKDAK TACO,86,¿Ramen preparado?,0,1
MAMA OK CARBONARA FLAVOR,86,¿Ramen preparado?,0,1
SHIN RAMYUN TOOMBA,86,¿Ramen preparado?,0,1
RAMEN KIMCHI - BULDAK,86,¿Ramen preparado?,0,1
OTTOGI ODONGTONG MYON,86,¿Ramen preparado?,0,1
NOMGSHIM SOON VEGGIE,86,¿Ramen preparado?,0,1
PALDO KOKOMEN,86,¿Ramen preparado?,0,1
COMPAGGUETTI,86,¿Ramen preparado?,0,1
UDON,86,¿Ramen preparado?,0,1
BOBAH TEA,22,Sabor de tu Bobah Tea,1,1
CHAMOYADA,4,,1,1
BONELESS M - 370g,101,Aderezo de cortesía,0,1
BONELESS G - 500g,101,Aderezo de cortesía,0,1
DEDOS DE QUESO PZA,101,Aderezo de cortesía,0,1
DEDOS DE QUESO 8 PZA,101,Aderezo de cortesía,0,1
BONELESS J - 1 Kg,101,Aderezo de cortesía,0,1
BONELESS CH - 250g,101,Aderezo de cortesía,0,1
FRAPPÉ DE AGUA GRANIZADO,53,,1,2
FRAPPÉ GATUNO,7,,1,2
SMOOTHIE,60,,1,2
BANDERILLA COREANA,111,,1,2
BANDERILLA COREANA,116,BANDERILLA COIREANA,1,2
CREPA- DULCE,99,Agrega fruta,1,3
CAJETA - CREPA,99,Agrega fruta,1,3
LECHERA - CREPA,99,Agrega fruta,1,3
PHILADELPHIA - CREPA,99,Agrega fruta,1,3
KINDER BUENO - CREPA,99,Agrega fruta,1,3
KINDER DELICE - CREPA,99,Agrega fruta,1,3
Creppa Baileys,99,Agrega fruta,1,3
CREMA BATIDA - CREPA,99,Agrega fruta,1,3
NUTELLA - CREPAa,99,Agrega fruta,1,3
ARIZONA 591 ml,100,Elige el sabor de tu arizona,1,1
FRAPPÉ GATUNO,5,,1,1
FRAPPÉ DE AGUA GRANIZADO,11,,1,1
ALITAS CH - 250g,54,¿Agregar Salsa Extra?,0,2
BONELESS M - 370g,54,¿Agregar Salsa Extra?,0,2
TENDERS 5 PZ,54,¿Agregar Salsa Extra?,0,2
ALITAS M - 370g,54,¿Agregar Salsa Extra?,0,2
BONELESS CH - 250g,54,¿Agregar Salsa Extra?,0,2
ALITAS CH - 250g,8,Elige el sabor de tus salsas,2,2
COMBO BONELESS GATO FRIEND ZONE (250GR),8,Elige el sabor de tus salsas,2,2
BONELESS M - 370g,8,Elige el sabor de tus salsas,2,2
COMBO ALITAS GATO FRIEND ZONE (250gr),8,Elige el sabor de tus salsas,2,2
ALITAS M - 370g,8,Elige el sabor de tus salsas,2,2
TENDERS 5 PZ,8,Elige el sabor de tus salsas,2,2
BONELESS CH - 250g,8,Elige el sabor de tus salsas,2,2
COMBO COREAN,97,,1,1
ALITAS G - 500g,55,,0,2
ALITAS J - 1 Kg,55,,0,2
BONELESS G - 500g,55,,0,2
BONELESS J - 1 Kg,55,,0,2
LICUADO GATUNO,88,Sabor Licuado,1,1
MALTEADA GATUNA,16,,1,1
COMBO SOJU MILKI,96,Sabor Milki,1,1
DONITAS GATUNAS 14PZA,30,,2,2
DONITAS GATUNAS 8PZA,29,,2,2
PROMO BOBAH G 2X100,45,,2,2
Promo Corean,37,Sabor,1,1
COMBO COREAN,37,Sabor,1,1
SHIN RAMEN TOOMBA,37,Sabor,1,1
SODA EXPLOSIVA,20,Elige el sabor de tu soda explosiva,1,1
TEA'S,21,Sabor de tu Té,1,1
TTEOKBOKKI PREPARADO,56,,1,1
COMBO BONELESS GATO MIMADO (500gr),9,,2,2
COMBO ALITAS GATO MIMADO (500gr),9,,2,2
BONELESS G - 500g,9,,2,2
ALITAS G - 500g,9,,2,2
BONELESS J - 1 Kg,9,,2,2
ALITAS J - 1 Kg,9,,2,2
PAPAS FRITAS - CORTE RECTO - CH (170g),47,,0,1
PAPAS FRITAS - CORTE RECTO M (270g),47,,0,1
PAPAS FRITAS - CORTE RECTO G (350g),47,,0,1
PAPAS FRITAS - CORTE RECTO J (500g),47,,0,1
CHAMOYADA,94,,1,1
MANGO - CHAMOYADA,94,,1,1
LIMÓN - CHAMOYADA,94,,1,1
MOJITO - CHAMOYADA,94,,1,1
CEREZA - CHAMOYADA,94,,1,1
FRESA - CHAMOYADA,94,,1,1
SANDÍA - CHAMOYADA,94,,1,1
CHAMOYADA PELON,94,,1,1
FRESA SANDÍA - CHAMOYADA,94,,1,1
MORA AZUL - CHAMOYADA,94,,1,1
PINK LEMONADE - CHAMOYADA,94,,1,1
PEPINO LIMÓN - CHAMOYADA,94,,1,1
MARACUYÁ - CHAMOYADA,94,,1,1
FRUTOS ROJOS - CHAMOYADA,94,,1,1
FRAPPÉ DE AGUA GRANIZADO,57,,1,1
FRAPPÉ GATUNO,6,,1,1
BOBAH TEA,33,Elija el tipo de Leche,1,1
TWICE TASTIC KITTY,36,Tipo de leche,1,1
HARD THE KITTEN,36,Tipo de leche,1,1
FRAPPÉ GATUNO,36,Tipo de leche,1,1
LILAC PURR LATTE,36,Tipo de leche,1,1
RING DING DONG,36,Tipo de leche,1,1
RED THE FLAVOR VELVET,36,Tipo de leche,1,1
MALTEADA GATUNA,17,,1,1
SMOOTHIE FRESA,93,,1,1
SMOOTHIE FRUTOS ROJOS,93,,1,1
SMOOTHIE MANGO,93,,1,1
CHAI LATTE,52,,1,1
¡ARMA LA TUYA!,2,Agrega tus toppings,0,10
CREPA- DULCE,2,Agrega tus toppings,0,10
CREPA DULCE,2,Agrega tus toppings,0,10
