Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
793,Bebidas Coreanas,,SOJU BLUE BERRY (MORA AZUL),0.0,unid.,-1.0,unid.,5.0,unid.,,68.17,
805,Bebidas Coreanas,,SOJU CITRON,0.0,unid.,-1.0,unid.,,,Asiaon Mart,68.17,
469,Bebidas Coreanas,,SOJU FRESA,0.0,unid.,-3.0,unid.,5.0,unid.,,68.17,
704,Bebidas Coreanas,,SOJU MANDARINA,0.0,unid.,0.0,unid.,5.0,unid.,,,
663,Bebidas Coreanas,,SOJU MANGO,0.0,unid.,0.0,unid.,,,,68.17,
467,Bebidas Coreanas,,SOJU MANZANA VERDE,0.0,unid.,-1.0,unid.,5.0,unid.,,68.17,
471,Bebidas Coreanas,,SOJU ORIGINAL,0.0,unid.,0.0,unid.,5.0,unid.,,68.17,
470,Bebidas Coreanas,,SOJU SAERO,0.0,unid.,0.0,unid.,5.0,unid.,,68.17,
792,Bebidas Coreanas,,SOJU UVA,0.0,unid.,0.0,unid.,5.0,unid.,,68.17,
472,Bebidas Coreanas,,SOJU YOGURT,0.0,unid.,-1.0,unid.,5.0,unid.,,68.17,
411,Bebidas Gatunas Calientes,,CHAI LATTE VAINILLA,,,,,,,,,
402,Bebidas Gatunas Calientes,,CHAI MIEL,,,,,,,,,
320,Bebidas Gatunas Calientes,TEA,TEA'S,,,,,,,,,
645,Bobah Tea's,,ALGODÓN DE AZÚCAR BOBA TEA'S,,,,,,,,,
302,Bobah Tea's,BOBAH,BOBAH TEA,0.0,unid.,,,,,,,
103,Bobah Tea's,,CHOCOLATE BOBA TEA´S,,,,,,,,70.0,
389,Bobah Tea's,,FRUTOS ROJOS BOBAH TEA'S,,,,,,,,,
109,Bobah Tea's,,FRUTOS ROJOS BOBA TEA´S,,,,,,,,,
104,Bobah Tea's,,HORCHATA BOBA TEA´S,,,,,,,,,
377,Bobah Tea's,,LECHE DESLACTOSADA BOBAH TEA,0.0,unid.,,,,,,,
376,Bobah Tea's,,LECHE ENTERA BOBAH TEA,0.0,unid.,,,,,,,
105,Bobah Tea's,,MATCHA BOBA TEA´S,,,,,,,,,
106,Bobah Tea's,,PINK LEMONADE BOBA TEA´S,,,,,,,,,
108,Bobah Tea's,,TARO PURPPLE BOBA TEA´S,,,,,,,,,
110,Bobah Tea's,,VAINILLA BOBA TEA´S,,,,,,,,,
203,Boneless Y Alitas,AL_CH,ALITAS CH - 250g,0.0,unid.,,,,,,,
328,Boneless Y Alitas,AL_G,ALITAS G - 500g,0.0,unid.,,,,,,,
406,Boneless Y Alitas,AL_J,ALITAS J - 1 Kg,0.0,unid.,,,,,,,
326,Boneless Y Alitas,AL_M,ALITAS M - 370g,0.0,unid.,,,,,,,
286,Boneless Y Alitas,BO_CH,BONELESS CH - 250g,0.0,unid.,,,,,,,
318,Boneless Y Alitas,BO_G,BONELESS G - 500g,0.0,unid.,,,,,,,
405,Boneless Y Alitas,BO_J,BONELESS J - 1 Kg,0.0,unid.,,,,,,,
404,Boneless Y Alitas,BO_M,BONELESS M - 370g,0.0,unid.,,,,,,,
876,Cafés fríos,,ICE COFE,,,,,,,agua,,
139,Café's Y Chocolates,,CAFÉ AMERICANO,,,,,,,,,
140,Café's Y Chocolates,,CAPUCCINO,,,,,,,,,
141,Café's Y Chocolates,,CARAMEL LATTE MACCHIATO,,,,,,,,,
142,Café's Y Chocolates,,CHOCOCINO,,,,,,,,,
143,Café's Y Chocolates,,CHOCOLATE CALIENTE 16 OZ,,,,,,,,,
145,Café's Y Chocolates,,CHOCOLATE OAXACA 16 OZ,,,,,,,,,
147,Café's Y Chocolates,,LATTE 12 OZ,,,,,,,,,
148,Café's Y Chocolates,,LATTE MACCHIATO,,,,,,,,,
149,Café's Y Chocolates,,MOKA (MOCHA),0.0,unid.,-3.0,unid.,,,,110.55,
858,Chamoyadas,,CHAMOYADA PELON,,,,,,,,,
864,Combos,,COMBO CURRY Y CAFE OKF,,,,,,,,,
866,Combos,,DUO CHILATE,,,,,,,,,
865,Combos,,DUO FRAPPÉ,,,,,,,,,
871,Crepas,,Creppa Baileys,,,,,,,,,
349,Crepas Especiales,CRE_CT,CONEJITO TURIN CREPA,0.0,unid.,,,,,,,
176,Crepas Especiales,,CREPA CHAMPIÑONES,,,,,,,,75.68,
174,Crepas Especiales,,CREPA HAWAIANA,,,,,,,,,
685,Crepas Especiales,,CREPIZZA HAWAIANA,,,,,,,,,
175,Crepas Especiales,,CREPIZZA PEPPERONI,0.0,unid.,,,,,,,
160,Crepas Especiales,CRE_F,FERRERO CREPA,0.0,unid.,,,,,,,
813,Crepas Especiales,CRE_GAN,GANSITO CREPA,0.0,unid.,,,,,,,
766,Crepas Especiales,CREP_KBUE,KINDER BUENO - CREPA,0.0,unid.,,,,,,,
752,Crepas Especiales,CREP_KDEL,KINDER DELICE - CREPA,0.0,unid.,,,,,,,
161,Crepas Especiales,CRE_K,KIT KAT CREPA,0.0,unid.,,,,,,,
757,Crepas Gatunas,CREP_CAJ,CAJETA - CREPA,0.0,unid.,,,,,,,
150,Crepas Gatunas,,CAJETA - Toppings crepa,4.0,unid.,,,,,,,
540,Crepas Gatunas,,CANELA - Decoración Crepa,,,,,,,,,
482,Crepas Gatunas,,CHISPAS DE CHOCOLATE - Decoración crepa,0.0,unid.,,,,,,,
152,Crepas Gatunas,,CHOCOLATE LIQ HERSEY - Toppings crepa,,,,,,,,,
765,Crepas Gatunas,,CHOCOMENTAS - Decoración crepa,39.0,unid.,,,,,,,
754,Crepas Gatunas,,CREMA BATIDA - Toppings crepa,,,,,,,,,
761,Crepas Gatunas,CREP_PAST,CREMA PASTELERA - CREPPA,,,,,,,,,
153,Crepas Gatunas,,CREMA PASTELERA - Toppings crepa,,,,,,,,,
748,Crepas Gatunas,CRE_NUT,CREPA- DULCE,0.0,unid.,,,,,,,
489,Crepas Gatunas,,DURAZNOS EN ALMIBAR - Fruta crepa,,,,,,,,,
172,Crepas Gatunas,,FRESA - Fruta crepa,,,,,,,,,
749,Crepas Gatunas,,FRUTOS ROJOS - Fruta crepa,,,,,,,,,
756,Crepas Gatunas,,GALLETA OREO - Toppings crepa,0.0,unid.,,,,,,,
758,Crepas Gatunas,CREP_NUT,LECHERA - CREPA,0.0,unid.,,,,,,,
155,Crepas Gatunas,,LECHERA - Toppings crepa,,,,,,,,,
759,Crepas Gatunas,CREP_MAP,MAPPLE - CREPA,0.0,unid.,,,,,,,
151,Crepas Gatunas,,MERMELADA CEREZA NEGRA - Toppings crepa,24.0,unid.,,,,,,,
158,Crepas Gatunas,,MERMELADA DE ZARZAMORA - Toppings crepa,,,,,,,,,
772,Crepas Gatunas,,MERMELADA FRESA - CREPA,,,,,,,,,
156,Crepas Gatunas,,NUTELLA - Toppings crepa,,,,,,,,,
760,Crepas Gatunas,CREP_PHI,PHILADELPHIA - CREPA,0.0,unid.,,,,,,0.0,
384,Crepas Gatunas,,PHILADELPHIA - Toppings crepa,0.0,unid.,-77.0,unid.,,,,0.0,
173,Crepas Gatunas,,PLATANO - Fruta crepa,,,,,,,,,
767,Decoraciones,,GRANILLO HALLOWEEN,21.0,unid.,,,,,,,
800,Desayunos,CHILAQ_R_CH,CHILAQ ROJO CHICO,0.0,unid.,,,,,,,
799,Desayunos,CHILAQ_R_G,CHILAQ ROJOS GRANDES,0.0,unid.,,,,,,,
529,Desayunos,CHILAQ_V_CH,CHILAQ VERDE CHICOS,0.0,unid.,,,,,,,
530,Desayunos,CHILAQ_V_G,CHILAQ VERDES GRANDES,0.0,unid.,,,,,,,
537,Desayunos,,CUERNITO DULCE,,,,,,,,,
536,Desayunos,,CUERNITO SALADO,0.0,unid.,,,,,,,
533,Desayunos,,GRATINADOS,,,,,,,,,
538,Desayunos,,HOTCAKES 2PZ,0.0,unid.,,,,,,,
532,Desayunos,,HUEVO EXTRA,0.0,unid.,,,,,,,
531,Desayunos,,POLLO EXTRA,,,,,,,,,
630,Desayunos,,SANDWICH 3 QUESOS,0.0,unid.,,,,,,,
631,Desayunos,,SANDWICH JAMÓN,0.0,unid.,,,,,,,
632,Desayunos,,SINCRONIZADAS 3PZ,,,,,,,,,
742,EXTRAS,,AJONJOLÍ,,,,,,,,,
743,EXTRAS,,CHILE QUEBRADO (CHILE SECO),,,,,,,,,
741,EXTRAS,,HUEVO DURO,,,,,,,,,
740,EXTRAS,,HUEVO ESTRELLADO,,,,,,,,,
10,Frappé's Gatunos,,ALGODÓN DE AZUCAR FRAPPÉ,,,,,,,,,
