Producto,Ingrediente,Cantidad,Unidad
Helado Flotante Limón,Refresco Coca-Cola 32 pzas de 355 ml,1.0,unid.
Helado Flotante Limón,Nieve de Limón Member's Mark 4.7 L,0.118,L
Helado Flotante Limón,Vaso Pet16oz - MIG,1.0,unid.
Helado Flotante Limón,TAPA TRAVELER 16 INIX (TPS16N),1.0,unid.
RAMEN POLLO - OTOKI,Ramen Pollo - Otoki,1.0,unid.
GANSITO FRAPPE,Mini Gansito - Marinela 24 gr,1.0,unid.
MARUCHAN QUESO,Maruchan Vaso Queso - 64 Gr,1.0,unid.
PREPARADO LLEVAR,16MJ32 ENVASE DART BOWL MEDIO,1.0,unid.
PREPARADO LLEVAR,Palillos chinos - 1 par,1.0,unid.
BONELESS G - 500g,Ranch Aderezo - L,0.06,L
BONELESS G - 500g,Contenedor 7x7 Liso Reyma,1.0,unid.
BONELESS G - 500g,Papa Corte Delgado Kg,0.3,kg
BONELESS G - 500g,Lechuga Italiana por pieza,0.09,unid.
CAJETA MINI DONAS 14PZ,Cajeta,0.031,kg
CAJETA MINI DONAS 8PZ,Cajeta,0.046,kg
CAJETA FRAPPÉ,Cajeta,0.052,kg
CAJETA - Toppings crepa,Cajeta,0.036,kg
CAJETA - CREPA,Mezcla Crepas,0.402,unid.
CAJETA - CREPA,Cajeta,0.036,kg
BONELESS G - 500g,Zanahoria por kilo,0.118,kg
BONELESS G - 500g,Pepino por kilo,0.105,kg
BONELESS G - 500g,Aceite Member 20 L,0.4,L
CEREZA - CHAMOYADA,Chamoy,0.052,L
BONELESS G - 500g,Papel alimenticio,0.002,kg
CEREZA - CHAMOYADA,Miguelito 1kg,0.011,kg
FRUTOS ROJOS - CHAMOYADA,Chamoy,0.052,L
FRUTOS ROJOS - CHAMOYADA,Miguelito 1kg,0.011,kg
MOJITO - CHAMOYADA,Chamoy,0.046,L
MOJITO - CHAMOYADA,Miguelito 1kg,0.011,kg
BONELESS G - 500g,Rollo Aluminio,1.0,unid.
BONELESS G - 500g,Bolsa,1.01,unid.
CUERNITO SALADO,CUERNITO,1.0,unid.
CUERNITO SALADO,Lechuga Italiana por pieza,0.108,unid.
CUERNITO SALADO,Mayonesa Cda,1.075,unid.
CUERNITO SALADO,Charola 7 Cuevas,1.0,unid.
CUERNITO SALADO,Rollo Aluminio,1.0,unid.
CUERNITO SALADO,Rebanada Jamón,1.0,unid.
CUERNITO SALADO,Rebanada Queso Amarillo,1.0,unid.
BONELESS G - 500g,Salsa Picante L,0.093,L
BONELESS G - 500g,"Catsup Generica / Mr Wings, Members",0.093,kg
FERRERO CREPA,Rollo Aluminio,1.0,unid.
FERRERO CREPA,Papel alimenticio,0.005,kg
FERRERO CREPA,Charola 7 Cuevas,1.0,unid.
FERRERO CREPA,Mezcla Crepas,0.402,unid.
FRESA - CHAMOYADA,Miguelito 1kg,0.537,kg
FRESA - CHAMOYADA,Chamoy,0.015,L
BONELESS G - 500g,Boneless - Kg,0.538,kg
LECHE DESLACTOSADA BOBAH TEA,Leche Deslactosada - Santa Clara 1L,0.392,L
FERRERO CREPA,Chocolate Ferrero - 1 pza,2.0,unid.
FERRERO CREPA,Nutella 1kg,0.062,kg
FERRERO CREPA,Queso Crema Philadelphia,0.065,kg
FERRERO CREPA,Jarabe Hershey's Chocolate kg,0.016,kg
FERRERO CREPA,TENEDOR SOPERO CLASSY,1.0,unid.
FERRERO CREPA,Almendra fileteada,0.015,kg
RANCH HABANERO ADEREZO M,Ranch Habanero - L Custom Culinary,0.048,L
RANCH HABANERO ADEREZO M,VASO TH200 (S200) INIX,1.0,unid.
RANCH HABANERO ADEREZO M,TAPA PL2 (TS2) INIX,1.0,unid.
COMBO BONELESS GATO MIMADO (500gr),Ranch Aderezo - L,0.06,L
COMBO BONELESS GATO MIMADO (500gr),TAPA PL2 (TS2) INIX,1.0,unid.
COMBO BONELESS GATO MIMADO (500gr),VASO TH200 (S200) INIX,1.0,unid.
COMBO BONELESS GATO MIMADO (500gr),Papel alimenticio,0.001,kg
CHILAQ VERDES GRANDES,Totopos,0.081,kg
CHILAQ VERDES GRANDES,Charola 7 Cuevas,1.0,unid.
CHILAQ VERDES GRANDES,Queso Panela,0.12,kg
CHILAQ VERDES GRANDES,Crema,0.108,L
CHILAQ VERDES GRANDES,Salsa Verde Chilaquiles,0.269,L
CHILAQ VERDES GRANDES,TENEDOR SOPERO CLASSY,1.0,unid.
CHILAQ ROJOS GRANDES,Totopos,0.081,kg
CHILAQ ROJOS GRANDES,Charola 7 Cuevas,1.0,unid.
CHILAQ ROJOS GRANDES,Queso Panela,0.108,kg
CHILAQ ROJOS GRANDES,Crema,0.108,L
CHILAQ ROJOS GRANDES,Salsa Roja Chilaquiles,0.269,L
CHILAQ ROJOS GRANDES,TENEDOR SOPERO CLASSY,1.0,unid.
CHILAQ ROJO CHICO,Totopos,0.059,kg
CHILAQ ROJO CHICO,Charola 7 Cuevas,1.0,unid.
CHILAQ ROJO CHICO,Queso Panela,0.108,kg
CHILAQ ROJO CHICO,Crema,0.108,L
CHILAQ ROJO CHICO,Salsa Roja Chilaquiles,0.177,L
CHILAQ ROJO CHICO,TENEDOR SOPERO CLASSY,1.0,unid.
COMBO BONELESS GATO MIMADO (500gr),Contenedor 8x8 Liso Bio Reyma,1.0,unid.
COMBO BONELESS GATO MIMADO (500gr),Boneless - Kg,0.511,kg
BBQ SALSA CH,BBQ Salsa L - Hunts,0.059,L
BBQ SALSA G,BBQ Salsa L - Hunts,0.091,L
AJO PARMESANO ADEREZO M,Ajo Parmesano Aderezo - L Mr Wings,0.059,L
CREPIZZA PEPPERONI,Queso Mozzarella,0.103,kg
CREPIZZA PEPPERONI,Queso Crema Philadelphia,0.065,kg
CREPIZZA PEPPERONI,Peperoni,0.038,kg
CREPIZZA PEPPERONI,Charola 7 Cuevas,1.0,unid.
CREPIZZA PEPPERONI,Rollo Aluminio,2.0,unid.
CREPIZZA PEPPERONI,Papel alimenticio,0.005,kg
CREPIZZA PEPPERONI,Mezcla Crepas,0.402,unid.
CREPIZZA PEPPERONI,Salsa Hunts cuatro quesos 360 g,0.082,kg
CREPIZZA PEPPERONI,Queso parmesano,0.005,kg
LEMON PEPPER SALSA CH,Sazonador Lemon Pepper - Bolsa 1 Kg,0.015,kg
LEMON PEPPER SALSA CH,Lemon Pepper Salsa - L Custom Culinary,0.065,L
PAPAS FRITAS - CORTE GAJO 270g,Papa Corte Gajo Sazonados Kg,0.29,kg
PAPAS FRITAS - CORTE GAJO 270g,Salsa Picante L,0.103,L
PAPAS FRITAS - CORTE GAJO 270g,Aderezo de Queso,0.108,kg
PAPAS FRITAS - CORTE GAJO 270g,"Catsup Generica / Mr Wings, Members",0.103,kg
PAPAS FRITAS - CORTE GAJO 270g,Hamburguesera Chimex Bio,1.0,unid.
PAPAS FRITAS - CORTE GAJO 270g,Papel alimenticio,0.001,kg
PAPAS FRITAS - CORTE GAJO 270g,Aceite Member 20 L,0.1,L
DEDOS DE QUESO 8 PZA,Dedos de Queso Kg,0.289,kg
DEDOS DE QUESO 8 PZA,Hamburguesera Chimex Bio,1.0,unid.
DEDOS DE QUESO 8 PZA,Aderezo de Queso,0.075,kg
DEDOS DE QUESO 8 PZA,VASO TH200 (S200) INIX,1.0,unid.
DEDOS DE QUESO 8 PZA,TAPA PL2 (TS2) INIX,1.0,unid.
DEDOS DE QUESO 8 PZA,Papel alimenticio,0.001,kg
PAPAS FRITAS - CORTE RECTO M (270g),Papa Corte Regular Cascara Kg,0.29,kg
PAPAS FRITAS - CORTE RECTO M (270g),Aderezo de Queso,0.075,kg
PAPAS FRITAS - CORTE RECTO M (270g),Papel alimenticio,0.001,kg
PAPAS FRITAS - CORTE RECTO M (270g),"Catsup Generica / Mr Wings, Members",0.077,kg
PAPAS FRITAS - CORTE RECTO M (270g),Salsa Picante L,0.077,L
PAPAS FRITAS - CORTE RECTO M (270g),Hamburguesera Chimex Bio,1.0,unid.
PAPAS FRITAS - CORTE RECTO M (270g),Aceite Member 20 L,0.1,L
JALAPEÑO RELLENO 8PZA,Jalapeños Rellenos Kg,0.301,kg
MOSTAZA MIEL ADEREZO G,Aderezo Mostaza Miel - Custom Culinary,0.118,L
MOSTAZA MIEL ADEREZO G,TAPA PL2 (TS2) INIX,2.0,unid.
MOSTAZA MIEL ADEREZO G,VASO TH200 (S200) INIX,2.0,unid.
MOSTAZA MIEL ADEREZO M,Aderezo Mostaza Miel - Custom Culinary,0.059,L
MOSTAZA MIEL ADEREZO M,TAPA 00 CUEVAS,1.0,unid.
MOSTAZA MIEL ADEREZO M,VASO 00 CUEVAS,0.001,unid.
