ID,Categoría,Subcategoría,Código,Nombre del articulo,Descripción,Tipo de articulo,Precio,Costo,Proveedor,Activo,Favorito,Control de Stock,Stock,Margen,Contiene modificadores,Permitir vender solo,Posición,SKU,Nombre de variante,GTIN
141,Bebidas Calientes,Café's Y Chocolates,,CARAMEL LATTE MACCHIATO,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,2200000,,,
146,Bebidas Calientes,Café's Y Chocolates,,CHAI LATTE,,Alimentos y bebidas preparados,40,,,Si,No,Si,,,Si,Si,2700000,,,
142,Bebidas Calientes,Café's Y Chocolates,,CHOCOCINO,,Alimentos y bebidas preparados,40,,,Si,No,Si,,,No,Si,3700000,,,
144,Bebidas Calientes,Café's Y Chocolates,,CHOCOLATE BLANCO 16 OZ,,Alimentos y bebidas preparados,50,,,Si,No,Si,,,No,Si,3900000,,,
143,Bebidas Calientes,Café's Y Chocolates,,CHOCOLATE CALIENTE 16 OZ,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,4200000,,,
145,Bebidas Calientes,Café's Y Chocolates,,CHOCOLATE OAXACA 16 OZ,,Alimentos y bebidas preparados,50,,,Si,No,Si,,,No,Si,4800000,,,
147,Bebidas Calientes,Café's Y Chocolates,,LATTE 12 OZ,,Alimentos y bebidas preparados,40,,,Si,No,Si,,,No,Si,8500000,,,
148,Bebidas Calientes,Café's Y Chocolates,,LATTE MACCHIATO,,Alimentos y bebidas preparados,40,,,Si,No,Si,,,No,Si,8600000,,,
149,Bebidas Calientes,Café's Y Chocolates,,MOKA,,Alimentos y bebidas preparados,40,110.55,,Si,No,Si,-4.2,-70.55,No,Si,11100000,,,
138,Bebidas Calientes,Té's,,CANELA MANZANA TÉ´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,2000000,,,
321,Bebidas Calientes,Té's,,FRUTOS ROJOS TÉ'S,,Alimentos y bebidas preparados,25,,,Si,No,Si,,,No,Si,20200000,,,
137,Bebidas Calientes,Té's,,FUSIÓN HERBAL TÉ´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,7100000,,,
136,Bebidas Calientes,Té's,,HIERBABUENA TÉ´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,7800000,,,
134,Bebidas Calientes,Té's,,LIMÓN TÉ´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,9000000,,,
135,Bebidas Calientes,Té's,,MANZANILLA TÉ´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,10000000,,,
460,Bebidas Gatunas,,,CHOCOLATE FRIO,,Alimentos y bebidas preparados,55,,,Si,No,No,,,No,No,32800000,,,
386,Bebidas Gatunas,,,Leche 200 ml Vainilla Santa Clara,,Alimentos y bebidas preparados,0,5,,No,No,Si,,-5,No,No,26300000,,,
387,Bebidas Gatunas,,LEC_PROM,Lechita 200ml Promo 3x25,,Alimentos y bebidas preparados,25,,,No,No,Si,,,No,No,26400000,,,
385,Bebidas Gatunas,,LEC_200,Lechita Santa Clara 200ml,,Alimentos y bebidas preparados,10,,,No,No,Si,,,No,No,26200000,,,
706,Bebidas Gatunas,,,RAMUNE MORA AZUL,,Alimentos y bebidas preparados,65,,,Si,No,Si,0,,No,Si,57000000,,,
393,Bebidas Gatunas,,VAQ_PROM,Vaquitas Promo 2x35,,Alimentos y bebidas preparados,35,18,,No,No,Si,,17,No,Si,27000000,,,
656,Bebidas Gatunas,Bebidas Coreanas,,AMERICANO BLACK - MCNULTY,,Alimentos y bebidas preparados,47,25,DOKSURI,Si,No,Si,1,22,No,Si,52300000,,,
643,Bebidas Gatunas,Bebidas Coreanas,,AMERICANO SWEET - MCNULTY,,Alimentos y bebidas preparados,47,25,,Si,No,Si,1,22,No,Si,51000000,,,
586,Bebidas Gatunas,Bebidas Coreanas,,ARIZONA (591ml),,Alimentos y bebidas preparados,25,14.41,Sam's Club,Si,No,Si,6,10.59,No,Si,45300000,,,
665,Bebidas Gatunas,Bebidas Coreanas,,ARIZONA KIWI FRESA (591ml),,Alimentos y bebidas preparados,25,14.41,Sam's Club,No,No,Si,1,10.59,No,Si,53200000,,,
666,Bebidas Gatunas,Bebidas Coreanas,,ARIZONA SANDIA (591ml),,Alimentos y bebidas preparados,25,14.41,Sam's Club,No,No,Si,3,10.59,No,Si,53300000,,,
581,Bebidas Gatunas,Bebidas Coreanas,,BONG BONG BEBIDA,,Alimentos y bebidas preparados,57,,,No,No,No,,,No,Si,44800000,,,
