similitud,id_A,nombre_A,act_A,precio_A,id_B,nombre_B,act_B,precio_B,ambos_activos
0.935,775,PAPAS FRITAS - CORTE DELGADO 120g,No,25.0,779,PAPAS FRITAS - CORTE DELGADO 500g,No,60.0,
0.935,776,PAPAS FRITAS - CORTE DELGADO 170g,No,29.0,777,PAPAS FRITAS - CORTE DELGADO 280g,No,40.0,
0.935,776,PAPAS FRITAS - CORTE DELGADO 170g,No,29.0,778,PAPAS FRITAS - CORTE DELGADO 350g,No,50.0,
0.935,776,PAPAS FRITAS - CORTE DELGADO 170g,No,29.0,779,PAPAS FRITAS - CORTE DELGADO 500g,No,60.0,
0.935,777,PAPAS FRITAS - CORTE DELGADO 280g,No,40.0,778,PAPAS FRITAS - CORTE DELGADO 350g,No,50.0,
0.935,777,PAPAS FRITAS - CORTE DELGADO 280g,No,40.0,779,PAPAS FRITAS - CORTE DELGADO 500g,No,60.0,
0.935,417,PAPAS FRITAS - CORTE RECTO G (350g),Si,55.0,418,PAPAS FRITAS - CORTE RECTO J (500g),Si,70.0,SÍ
0.933,363,JALAPEÑO SPICY SALSA CH,Si,0.0,367,JALAPEÑO SPICY SALSA G,Si,0.0,SÍ
0.933,360,MANGO GUAJILLO SALSA CH,Si,0.0,365,MANGO GUAJILLO SALSA G,Si,0.0,SÍ
0.933,296,MANGO HABANERO SALSA CH,Si,0.0,336,MANGO HABANERO SALSA G,Si,0.0,SÍ
0.933,814,RUFFLESS QUESO SALSA CH,Si,15.0,815,RUFFLESS QUESO SALSA G,Si,15.0,SÍ
0.933,182,NUTELLA MINI DONAS 14PZ,Si,0.0,189,NUTELLA MINI DONAS 8PZ,Si,0.0,SÍ
0.931,784,PAPAS FRITAS - CORTE CURLY 170g,No,40.0,737,PAPAS FRITAS - CORTE CURLY 280g,No,50.0,
0.931,784,PAPAS FRITAS - CORTE CURLY 170g,No,40.0,785,PAPAS FRITAS - CORTE CURLY 350g,No,65.0,
0.931,784,PAPAS FRITAS - CORTE CURLY 170g,No,40.0,786,PAPAS FRITAS - CORTE CURLY 500g,No,75.0,
0.931,737,PAPAS FRITAS - CORTE CURLY 280g,No,50.0,785,PAPAS FRITAS - CORTE CURLY 350g,No,65.0,
0.931,737,PAPAS FRITAS - CORTE CURLY 280g,No,50.0,786,PAPAS FRITAS - CORTE CURLY 500g,No,75.0,
0.93,727,BÚFALO CHAMPI SALSA CH,Si,0.0,728,BÚFALO CHAMPI SALSA G,Si,0.0,SÍ
0.93,816,DORITOS NACHO SALSA CH,Si,15.0,817,DORITOS NACHO SALSA G,Si,15.0,SÍ
0.93,258,+ PAPAS A LA FRANCESA CH,No,25.0,259,+ PAPAS A LA FRANCESA M,No,30.0,
0.93,177,CAJETA MINI DONAS 14PZ,Si,0.0,184,CAJETA MINI DONAS 8PZ,Si,0.0,SÍ
0.93,181,MAPPLE MINI DONAS 14PZ,Si,0.0,188,MAPPLE MINI DONAS 8PZ,Si,0.0,SÍ
